Item_Identifier,Item_Outlet_Sales
FDW58,1443.9864853141705
FDW14,1210.3135531724631
NCN55,511.5509744827531
FDQ58,2325.0604457058207
FDY38,5370.8756788859755
FDH56,1768.3551154831578
FDL48,565.0869398990834
FDC48,1959.986496195073
FDN33,1328.8367105856496
FDA36,2695.322035451125
FDT44,1733.996662438984
FDQ56,1105.9310856147865
NCC54,489.8340978112308
FDU11,2007.271849070166
DRL59,656.874218728425
FDM24,2047.136887349684
FDI57,3687.6027873477224
DRC12,2654.823976279212
NCM42,2567.5647030673945
FDA46,456.76551602359564
FDA31,2599.9586396300047
NCJ31,3447.9450992477746
FDG52,702.0513784303466
NCL19,295.0510275760909
FDS10,2852.2201912073583
FDX22,417.4488822385549
NCF19,736.7773918694916
NCE06,2178.5991195262995
DRC27,3259.7949168352566
FDE21,1843.87751747468
NCR42,61.32714771675667
FDX51,2733.932479248134
NCR06,497.75990176644154
FDU31,5255.319214616717
FDU59,2323.897659533526
FDR03,5211.071040908371
FDS49,2046.5753742909085
FDD48,230.7924733294409
NCF18,2852.563394570011
NCD43,2406.228766855099
NCD54,1669.4183595503946
FDY19,227.05424222427752
NCY54,2424.0029419531556
NCL19,1898.7759260309954
FDP23,461.055963910118
FDC26,1652.2874690324993
FDR14,149.70660706179171
NCS41,2986.8399334778023
FDF41,3626.462863273834
FDU34,1822.705633640017
DRH11,823.5610386490384
FDM03,1556.5899715867022
FDS31,2770.817697446802
FDJ20,1779.0039625547947
FDV44,4869.211134824969
FDG02,2851.158498301272
FDA09,2855.918623123078
FDT04,505.00665022497174
FDL58,488.8804739883947
FDE52,1201.6320867784948
FDW12,2218.7952355296497
FDL51,3085.768017946644
NCY42,3341.73149128005
FDR07,1234.9143178193901
FDN40,1998.3459450073865
FDB35,2276.63072645061
FDA22,2492.780466845867
NCL06,3287.3624343365946
FDI35,2766.015871981181
NCW42,2966.2444360088048
NCX06,2781.3400458013516
FDC37,2610.0578140642397
FDZ14,1578.4017132757488
DRG49,3520.614886879651
NCG06,3357.965769067124
DRC36,2399.324944048228
FDV21,292.54711010533185
FDB53,1954.7198047303993
DRP47,465.4092246066975
FDA14,2016.16080485611
DRC24,2392.341648765473
FDW21,1190.8411221866204
NCH29,1499.2258242532225
FDU58,2684.3035800885796
FDY27,2634.9779873613343
FDV56,1649.13690903511
FDT59,3285.7144223512814
FDB23,3431.3167962008843
FDR49,675.1482195107465
FDB03,560.0640593001611
FDN39,2508.22399997013
FDX02,5092.5764145428475
FDQ16,2619.4100262838065
FDU35,1260.8760272230766
NCT29,1794.2351286009778
FDZ27,717.3188544565326
FDN57,1957.7340595687733
FDA03,1739.6946954655928
FDZ36,2662.770834013078
NCU05,1079.0003441873903
FDT39,1821.194332965332
FDK60,1452.7753057375437
FDZ25,2674.8672205445437
FDG12,1916.8995398003983
DRB01,395.72654451313775
NCC43,5492.101814144394
FDX13,507.3469349586495
FDM22,769.4124631599257
FDJ03,1226.2503480702644
FDU14,3239.9201152360415
FDB33,352.70972983871
FDP27,2840.840537025922
FDO38,161.34629599099253
FDE28,5418.144131707819
FDO27,1520.4283303334464
DRL23,2451.0623186335215
FDS28,862.8807677651771
FDX24,1210.460255387395
FDZ02,1515.2847103026265
FDL46,1536.345960890354
FDS60,4523.305970966707
NCO06,399.056570958634
FDO16,1218.441936720634
FDC60,1147.9514550208237
FDA48,2832.456276153814
FDZ36,4790.8663790646015
FDK27,1755.7873791472268
FDW23,396.55337273039936
FDM14,1349.9586161619732
FDM14,1491.9739305331086
FDW60,2216.999088945699
FDE21,1709.248035935666
NCM42,1673.1988385330594
FDY59,185.26993674333485
DRI49,1139.1321951823543
FDT28,291.8754042386014
FDQ22,415.9269928633407
FDR60,1111.3379014322804
